Siddhnath Hardware,+(91)-8000846346,0.0,1000,"2 Tirupati Complex, 2 Jalaram Society, University Road, Rajkot - 360005, Behind Wockhardt Hospital",,"Hardware Shops,"
Shubham Hardware And Sanita..,+(91)-9328044317,0.0,1000,"Shop No-12, Krishna Complex, B/H Avadh Art, 150 Feet Ring Road, Rajkot - 360005, Opp.raiya Telephone Exchange",,"Hardware Shops,"
Aakash Enterprises,+(91)-281-2384293,0.0,1000,"90, Mira Udyog, 150 Feet Ring Road, Rajkot - 360005, Behind Aji Gidc",,"Hardware Shops,"
Hira Electric Hardware,+(91)-9904954729,0.0,1000,"Shop No 10 Krishna Complex, Main Road, 150 Feet Ring Road, Rajkot - 360005, Near Raiya Telefone Exchange",,"Electricians,"
Laxmi Hardware,+(91)-8866142388,0.0,1000,"150 Feet Ring Road, Rajkot - 360005, Near Rosary School",,"Hardware Shops,"
Patel Hardware And Seneteri,+(91)-9913085058,0.0,1000,"Suncity Arcad, Sadhuwaswani Road, University Road, Rajkot - 360005, Nr. Pralap Green City",,"Hardware Shops,"
JAY Somnath Hardware & Sani..,+(91)-9426784663,0.0,1000,"Classic Apartment Ground Floor, Below SBI Bank, 150 Feet Ring Road, Rajkot - 360005, Near Raiya Telephone Exchange",,"Hardware Shops,"
jay somnath hardware,+(91)-9099986893,0.0,1000,"classic appt, main road, 150 Feet Ring Road, Rajkot - 360005, below state bank",,"Hardware Shops,"
Shree Ganesh Plywood,+(91)-8128524009,0.0,1000,"Dholakiya School Road, 150 Feet Ring Road, Rajkot - 360005, Near Balaji Hall, Opposite Swaminarayan Party Plot",,"Hardware Shops,"
Geeta Hardware Point,+(91)-9879073311,0.0,1000,"Raiya Circle, 150 Feet Ring Road, Rajkot - 360005, Opposite Poojara",,"Hardware Shops,"
Vraj Plywood & Hardware,+(91)-9979469797,0.0,1000,"Shop No- 101, Raviraj Complex, 150 Feet Ring Road Main Road, 150 Feet Ring Road, Rajkot - 360005, Near Balaji Hall",,"Hardware Shops,"
Sangam Hardware And Sanitar..,+(91)-9712777843,0.0,1000,"Shiv Complex, 40 Feet Road, 150 Feet Ring Road, Rajkot - 360005, Near Om Nagar",,"Hardware Shops,"
Parth Industries,+(91)-9712197136,0.0,1000,"Corner, Plot No, No 4/6, 126a Meera Udhyog Nagar Street, Rajkot - 360003, Near Aji Road",,"Hardware Shops,"
Shivam Hardware & Plywood (..,+(91)-281-2369505,0.0,1000,"JK Hall, 150 feet Ring Road, Mavdi Plot, Rajkot - 360004, Opposite Balaji Hall, Near Bapasitaram Petrol Pump",,"Hardware Shops,"
Shree Eshvar Krupa Hardware..,+(91)-281-2572961,0.0,1000,"8-Shurya Com., 150 Feet Ring Road, Rajkot - 360005, Opp.trimurti Balaji Temple",,"Hardware Shops,"
Prachi Hardwares,+(91)-8866780214,0.0,1000,"Opposite Telecom Exchange, 150 Feet Ring Road, Rajkot - 360005, Raiya Telecom Exchange",,"Hardware Shops,"
Shree Ram Hardware,+(91)-9662570907,0.0,1000,"Radhika Appartment, 150 Feet Ring Road, Rajkot - 360005, Opp Varudi Complex",,"Hardware Shops,"
Shiv Shakti Hardware & Pain..,+(91)-9426249136,4.6,1000,"Rainy Road, Raiya Circle, Rajkot - 360007, Opposite Alap Green City, Near Pramukhswami Auditorium",,"Hardware Shops,"
M D Plywood & Hardware,+(91)-8128727437,4.7,1000,"Shop No 9/10, Nakshtra 7, Rajkot Raiya Road, Rajkot - 360007, Near Bapa Sitaram Chowk",,"Hardware Shops,"
New Sarvaiya Hardware,+(91)-9924080899,4.7,1000,"Rajkot Raiya Road, Rajkot - 360007, Near Paradise Hall and Ganesh Park Coner, Bapasitaram Chowk",,"Hardware Shops,"
Shree Khodiyar Hardware & P..,+(91)-9979350049,4.5,1000,"Shop No 15, Shamal Vertical, Sadhuvashvani Main Road, Rajkot Raiya Road, Rajkot - 360007, Opposite Maruti Mobile",,"Hardware Shops,"
